,names,sizes,prices,fabrics,sleeves,net_quantities,patterns,ratings,delivery_
0,Trendy Partywear Women Tops & Tunics,M,246,Lycra,Sleeveless,1,Solid,3.7,Free Delivery
1,Pretty Graceful Women Tops & Tunics,XXS,102,Lycra,Sleeveless,2,Solid,4.2,Free Delivery
2,Stylish Fabulous Women Tops & Tunics,XS,150,Cotton,Long Sleeves,1,Solid,4.1,Free Delivery
3,Stylish Fashionista Women Tops & Tunics,XXS,235,Cotton,Long Sleeves,1,Solid,4.2,Free Delivery
4,Trendy Latest Women Tops & Tunics,XS,159,Cotton,Long Sleeves,1,Solid,4.0,Free Delivery
5,Trendy Feminine Women Tops & Tunics,XS,242,Cotton,Long Sleeves,1,Solid,4.0,Free Delivery
6,Trendy Tops & Tunics,S,349,Cotton,Three-Quarter Sleeves,2,Solid,4.0,Free Delivery
7,Classic Designer Women Tops & Tunics,S,201,Georgette,Three-Quarter Sleeves,1,Chikankari,3.9,Free Delivery
8,Pretty Glamorous Women Tops & Tunics,S,201,Rayon,Three-Quarter Sleeves,1,Printed,4.1,Free Delivery
9,Stylish Sensational Women Tops & Tunics,XS,164,Polyester,Short Sleeves,1,Solid,3.7,Free Delivery
10,Comfy Modern Women Tops & Tunics,XXS,161,Lycra,Long Sleeves,1,Solid,3.7,Free Delivery
11,Classy Modern Women Tops & Tunics,XS,137,Cotton,Sleeveless,1,Solid,4.0,Free Delivery
12,Trendy Tops & Tunics,XS,270,Cotton,Three-Quarter Sleeves,1,Embroidered,4.2,Free Delivery
13,Stylish Partywear Women Tops & Tunics,S,165,Cotton,Short Sleeves,1,Solid,4.1,Free Delivery
14,Classy Fabulous Women Tops & Tunics,XS,183,Cotton,Short Sleeves,1,Solid,4.0,Free Delivery
15,Classic Latest Women Tops & Tunics,XS,207,Lycra,Short Sleeves,1,Printed,4.0,Free Delivery
16,Trendy Sensational Women Tops & Tunics,XS,179,Lycra,Long Sleeves,1,Solid,4.0,Free Delivery
17,Stylish Designer Women Tops & Tunics,XS,264,Rayon,Three-Quarter Sleeves,1,Printed,4.0,Free Delivery
18,Pretty Feminine Women Tops & Tunics,XS,123,Cotton,Sleeveless,1, Solid ,4.2,Free Delivery
19,Urbane Designer Women Tops & Tunics,S,247,Cotton,Long Sleeves,1,Solid,4.2,Free Delivery
